sci_name,lat,lon,status
Dillenia pulchella,1.3667,103.8,Vulnerable
Cotylelobium lanceolatum,6.95,117.25,Vulnerable
Madhuca curtisii,2.6833,103.35,Vulnerable
Shorea richetia,1.4,110.3,Vulnerable
Etlingera baculutea,2.5,113.0667,Vulnerable
Shorea atrinervosa,4.9815,115.8179,Vulnerable
Koordersiodendron pinnatum,5.8333,117.9333,Vulnerable
Galearia aristifera,3.4472,102.0,Vulnerable
Payena obscura,2.5667,103.7667,Vulnerable
Monocarpia borneensis,4.2,113.9833,Vulnerable
Shorea guiso,4.8333,103.2167,Vulnerable
Shorea guiso,4.25,117.9,Vulnerable
Payena obscura,4.4167,114.5833,Vulnerable
Meistera sceletescens,6.2014,116.6308,Vulnerable
Hedychium collinum,5.4831,102.1,Vulnerable
Hopea pachycarpa,1.75,117.5,Vulnerable
Hopea beccariana,4.3333,100.6333,Vulnerable
Palaquium macrocarpum,1.9358,103.905,Vulnerable
Gonystylus affinis,2.3003,112.605,Vulnerable
Galearia aristifera,1.55,110.3333,Vulnerable
Endiandra clavigera,1.4,110.3,Vulnerable
Sulettaria longituba,4.0783,114.8992,Vulnerable
Mangifera superba,4.5395,100.9931,Vulnerable
Madhuca endertii,6.2,116.5833,Vulnerable
Hopea sublanceolata,4.6367,102.4036,Vulnerable
Shorea gibbosa,1.4167,110.15,Vulnerable
Mitrephora fragrans,0.8833,117.8167,Vulnerable
Dipterocarpus palembanicus,4.25,117.9,Vulnerable
Madhuca endertii,6.2,116.5833,Vulnerable
Shorea gibbosa,5.6667,116.3667,Vulnerable
Epiamomum epiphyticum,3.25,114.25,Vulnerable
Dipterocarpus elongatus,4.8,115.05,Vulnerable
Koordersiodendron pinnatum,0.9833,117.9667,Vulnerable
Payena obscura,4.2167,113.9833,Vulnerable
Callicarpa superposita,1.85,117.2,Vulnerable
Tetramerista glabra,4.0833,117.6667,Vulnerable
Shorea longiflora,2.2822,111.8789,Vulnerable
Beilschmiedia pilosa,4.472,115.8582,Vulnerable
Amphicnemis ecornuta,1.823,103.879,Vulnerable
Vatica pauciflora,6.15,101.9,Vulnerable
Heritiera impressinervia,3.2215,113.3097,Vulnerable
Kopsia larutensis,5.3667,100.5667,Vulnerable
Palaquium maingayi,5.4167,115.7583,Vulnerable
Callicarpa scandens,4.9789,117.8653,Vulnerable
Payena obscura,5.4333,100.2667,Vulnerable
Polyscias revoluta,3.2667,113.95,Vulnerable
Madhuca kuchingensis,1.7,109.6667,Vulnerable
Hopea andersonii,1.4167,110.1667,Vulnerable
Heptapleurum affine,4.8508,100.7231,Vulnerable
Vatica maritima,6.0667,116.0667,Vulnerable
Madhuca sericea,5.8458,118.0958,Vulnerable
Vatica stapfiana,5.5167,102.2,Vulnerable
Etlingera lagarophylla,3.7833,115.5333,Vulnerable
Madhuca hirtiflora,4.4667,101.0497,Vulnerable
Payena obscura,4.2167,100.6331,Vulnerable
Hedychium macrorrhizum,3.2339,101.5342,Vulnerable
Tetramerista glabra,3.4292,103.3355,Vulnerable
Cryptocarya nigra,1.05,103.3667,Vulnerable
Madhuca endertii,6.005,116.5431,Vulnerable
Durio pinangianus,4.3094,101.0253,Vulnerable
Bridelia cinnamomea,1.8333,104.15,Vulnerable
Shorea johorensis,5.4668,118.3465,Vulnerable
Litsea ficoidea,5.3333,115.75,Vulnerable
Shorea andulensis,4.4833,114.9167,Vulnerable
Alpinia argentea,4.0833,114.8333,Vulnerable
Madhuca curtisii,4.4167,114.5833,Vulnerable
Palaquium hispidum,3.8194,102.6272,Vulnerable
Eusideroxylon zwageri,3.225,115.3585,Vulnerable
Utania austromalayensis,1.3085,103.8449,Vulnerable
Shorea richetia,1.4,110.3,Vulnerable
Shorea johorensis,5.8333,117.75,Vulnerable
Jarandersonia rinoreoides,5.2168,118.7183,Vulnerable
Callicarpa superposita,4.65,118.45,Vulnerable
Madhuca curtisii,3.1708,113.0425,Vulnerable
Aglaia subsessilis,5.7172,117.6598,Vulnerable
Burbidgea schizocheila,3.8667,115.5,Vulnerable
Oligoaeschna platyura,4.7,115.0667,Vulnerable
