sci_name,lat,lon,status
Aquilaria malaccensis,5.8893,100.4041,Critically Endangered
Aquilaria malaccensis,4.6969,100.6238,Critically Endangered
Aquilaria malaccensis,5.9876,100.6348,Critically Endangered
Aquilaria malaccensis,2.4273,101.9092,Critically Endangered
Aquilaria malaccensis,5.7581,102.1838,Critically Endangered
Aquilaria malaccensis,2.2297,102.2717,Critically Endangered
Aquilaria malaccensis,5.0472,102.7002,Critically Endangered
Aquilaria malaccensis,2.1857,102.821,Critically Endangered
Aquilaria malaccensis,3.7108,102.9639,Critically Endangered
Aquilaria malaccensis,2.2846,103.2495,Critically Endangered
Aquilaria malaccensis,2.0979,103.3264,Critically Endangered
Aquilaria malaccensis,2.9869,103.4363,Critically Endangered
Aquilaria malaccensis,2.7455,103.5461,Critically Endangered
Aquilaria malaccensis,1.8234,103.9197,Critically Endangered
Aquilaria malaccensis,2.3285,104.0955,Critically Endangered
Aquilaria malaccensis,1.5379,104.2383,Critically Endangered
Aquilaria malaccensis,5.75,101.4167,Critically Endangered
Aquilaria malaccensis,3.0,102.3333,Critically Endangered
Aquilaria malaccensis,4.3753,100.9647,Critically Endangered
Aquilaria malaccensis,4.3333,101.3333,Critically Endangered
Aquilaria malaccensis,5.75,101.4167,Critically Endangered
Aquilaria malaccensis,3.23,101.63,Critically Endangered
Aquilaria malaccensis,3.0,102.3333,Critically Endangered
Aquilaria malaccensis,6.05,116.7,Critically Endangered
Vatica yeechongii,3.07,101.87,Critically Endangered
Vatica yeechongii,2.8,101.95,Critically Endangered
Plectostoma umbilicatum,3.8913,102.473,Critically Endangered
Plectostoma umbilicatum,3.8991,102.484,Critically Endangered
Plectostoma tenggekensis,4.0144,103.159,Critically Endangered
Shorea macrantha,4.347,100.621,Critically Endangered
Shorea macrantha,5.0068,100.7267,Critically Endangered
Shorea macrantha,4.2854,101.0174,Critically Endangered
Shorea macrantha,4.1119,101.2021,Critically Endangered
Shorea macrantha,2.733,103.1226,Critically Endangered
Shorea macrantha,3.8233,103.1904,Critically Endangered
Shorea macrantha,4.8339,103.1961,Critically Endangered
Shorea macrantha,2.5177,103.7522,Critically Endangered
Shorea macrantha,2.1518,104.0052,Critically Endangered
Shorea macrantha,1.669,109.8791,Critically Endangered
Shorea macrantha,0.9331,110.7306,Critically Endangered
Shorea macrantha,1.2682,111.2469,Critically Endangered
Shorea macrantha,2.3168,111.7083,Critically Endangered
Shorea macrantha,4.35,100.95,Critically Endangered
Shorea macrantha,4.35,100.95,Critically Endangered
Artocarpus annulatus,1.2,110.3667,Critically Endangered
Artocarpus annulatus,1.2,110.3667,Critically Endangered
Artocarpus annulatus,1.2046,110.3796,Critically Endangered
Artocarpus annulatus,1.2,110.3667,Critically Endangered
Artocarpus annulatus,1.2046,110.3796,Critically Endangered
Artocarpus annulatus,1.2167,110.3167,Critically Endangered
Artocarpus annulatus,1.2046,110.3796,Critically Endangered
Artocarpus annulatus,1.036,110.3007,Critically Endangered
Artocarpus annulatus,1.036,110.3007,Critically Endangered
Artocarpus annulatus,1.204,110.3646,Critically Endangered
Artocarpus annulatus,1.2061,110.3648,Critically Endangered
Artocarpus annulatus,1.2059,110.3648,Critically Endangered
Artocarpus annulatus,1.204,110.3648,Critically Endangered
Artocarpus annulatus,1.2057,110.3648,Critically Endangered
Artocarpus annulatus,1.204,110.3648,Critically Endangered
Artocarpus annulatus,1.2061,110.3648,Critically Endangered
Artocarpus annulatus,1.204,110.3649,Critically Endangered
Artocarpus annulatus,1.2057,110.3649,Critically Endangered
Artocarpus annulatus,1.2056,110.365,Critically Endangered
Artocarpus annulatus,1.2056,110.365,Critically Endangered
Artocarpus annulatus,1.204,110.3651,Critically Endangered
Artocarpus annulatus,1.185,110.3129,Critically Endangered
Artocarpus annulatus,1.1849,110.3129,Critically Endangered
Artocarpus annulatus,1.1852,110.313,Critically Endangered
Artocarpus annulatus,1.1849,110.313,Critically Endangered
Artocarpus annulatus,1.1851,110.313,Critically Endangered
Artocarpus annulatus,1.1851,110.3131,Critically Endangered
Artocarpus annulatus,1.185,110.3133,Critically Endangered
Artocarpus annulatus,1.1851,110.3133,Critically Endangered
Artocarpus annulatus,1.1851,110.3134,Critically Endangered
Artocarpus annulatus,1.1851,110.3134,Critically Endangered
Artocarpus annulatus,1.1851,110.3137,Critically Endangered
Artocarpus annulatus,1.2044,110.3288,Critically Endangered
Artocarpus annulatus,1.2051,110.3288,Critically Endangered
Artocarpus annulatus,1.2052,110.3289,Critically Endangered
Artocarpus annulatus,1.2053,110.329,Critically Endangered
Artocarpus annulatus,1.2046,110.329,Critically Endangered
Artocarpus annulatus,1.2056,110.329,Critically Endangered
Artocarpus annulatus,1.205,110.329,Critically Endangered
Artocarpus annulatus,1.2051,110.3291,Critically Endangered
Artocarpus annulatus,1.2049,110.3291,Critically Endangered
Artocarpus annulatus,1.2048,110.3292,Critically Endangered
Artocarpus annulatus,1.2025,110.3292,Critically Endangered
Artocarpus annulatus,1.2049,110.3292,Critically Endangered
Artocarpus annulatus,1.2048,110.3296,Critically Endangered
Artocarpus annulatus,1.2039,110.3617,Critically Endangered
Artocarpus annulatus,1.206,110.3622,Critically Endangered
Artocarpus annulatus,1.2061,110.3624,Critically Endangered
Artocarpus annulatus,1.206,110.3624,Critically Endangered
Artocarpus annulatus,1.2061,110.3625,Critically Endangered
Artocarpus annulatus,1.2061,110.3625,Critically Endangered
Artocarpus annulatus,1.2061,110.3626,Critically Endangered
Artocarpus annulatus,1.2056,110.3627,Critically Endangered
Artocarpus annulatus,1.206,110.3627,Critically Endangered
Artocarpus annulatus,1.206,110.3627,Critically Endangered
Artocarpus annulatus,1.2057,110.3627,Critically Endangered
